"relative_path","extension","size_bytes","modified"
".gitignore",".gitignore","301","2026-05-04 15:51:48"
"CITATION.cff",".cff","445","2026-05-04 15:54:56"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__all_executable_refinement_metrics.csv",".csv","15078","2026-05-04 07:49:22"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__local_refinement_metrics.csv",".csv","10952","2026-05-04 07:49:22"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__nominal_coarse_refined_comparison.csv",".csv","766","2026-05-04 07:49:22"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__refined_design_robustness_table.csv",".csv","398","2026-05-04 08:17:15"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__executable_design_refinement__top_candidate_resampling_metrics.csv",".csv","4658","2026-05-04 07:49:22"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__selected_design_resampling_metrics.csv",".csv","400","2026-05-04 05:45:23"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__design_optimization_study__three_section_design_optimization_metrics.csv",".csv","14204","2026-05-04 01:59:42"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__three_section_hard_constraints.csv",".csv","437","2026-05-03 10:04:17"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__three_section_hard_replay_metrics.csv",".csv","600","2026-05-03 10:04:17"
"data\summary_csv\3sec__three_section_hard_replay_9_6_3_demo__three_section_hard_robustness.csv",".csv","1111","2026-05-03 10:04:17"
"data\summary_csv\metrics__external_baseline_fullpath_metrics.csv",".csv","1007","2026-04-05 13:02:31"
"data\summary_csv\metrics__sensitivity_metrics.csv",".csv","1141","2026-04-05 12:58:03"
"docs\data_description.md",".md","1378","2026-05-04 15:51:48"
"docs\github_upload_checklist.md",".md","614","2026-05-04 15:46:29"
"docs\release_policy.md",".md","1120","2026-05-04 15:52:37"
"docs\supplementary_video_notes.md",".md","3220","2026-05-04 15:52:37"
"figures\manuscript\design_map_refinement.pdf",".pdf","32079","2026-05-04 08:17:52"
"figures\manuscript\design_map_refinement.png",".png","401403","2026-05-04 08:17:52"
"figures\manuscript\large_deformation_bridge_figure.pdf",".pdf","44342","2026-05-03 18:44:27"
"figures\manuscript\large_deformation_bridge_figure.png",".png","267849","2026-05-03 18:44:26"
"figures\manuscript\large_deformation_response_final.png",".png","169761","2026-04-07 13:25:52"
"figures\manuscript\large_deformation_snapshot_final.png",".png","160784","2026-04-05 23:20:01"
"figures\manuscript\planning_execution_comparison_final.png",".png","168850","2026-04-07 13:25:52"
"figures\manuscript\robot_architecture.pdf",".pdf","32986","2026-05-04 12:52:47"
"figures\manuscript\robot_architecture.png",".png","401140","2026-05-04 12:52:46"
"figures\manuscript\single_section_coupled_vs_uncoupled_final.png",".png","402493","2026-04-07 13:25:52"
